calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,WPF-SCADA,42,KDE,12,4895,221.30342134781586,182.61071047228617,262.9995311892142,0.0,True
0.88,WPF-SCADA,42,KDE,24,4895,221.30342134781586,180.76951284375448,268.80727583607563,0.0,True
0.88,WPF-SCADA,42,KDE,48,4895,221.30342134781586,177.70893325587457,268.4238362818281,0.0,True
0.88,Longyuan-SCADA,42,MLP-QR,12,5242,7.114199865414686,5.1453509056854685,9.07961323243068,0.0,True
0.88,Longyuan-SCADA,42,MLP-QR,24,5242,7.114199865414686,4.892985505604735,9.372205729950297,0.0,True
0.88,Longyuan-SCADA,42,MLP-QR,48,5242,7.114199865414686,4.671617746071159,9.654665371599382,0.0,True
0.88,Longyuan-SCADA,42,LSTM-QR,12,5242,6.476044706878022,4.00484595489793,9.062208937588922,0.0,True
0.88,Longyuan-SCADA,42,LSTM-QR,24,5242,6.476044706878022,3.70705195145496,9.414169211025595,0.0,True
0.88,Longyuan-SCADA,42,LSTM-QR,48,5242,6.476044706878022,3.503160075248084,9.758438895440927,0.0,True
0.88,Longyuan-SCADA,42,GRU-QR,12,5242,8.960085766591083,6.376072663589545,11.716389111206306,0.0,True
0.88,Longyuan-SCADA,42,GRU-QR,24,5242,8.960085766591083,5.951420255737058,12.261182064338744,0.0,True
0.88,Longyuan-SCADA,42,GRU-QR,48,5242,8.960085766591083,5.528085212532867,12.522107855794262,0.0,True
0.88,Longyuan-SCADA,42,CNN-QR,12,5242,14.481446818512207,12.158955156216408,16.828973953098977,0.0,True
0.88,Longyuan-SCADA,42,CNN-QR,24,5242,14.481446818512207,11.739054608717987,17.109650812136312,0.0,True
0.88,Longyuan-SCADA,42,CNN-QR,48,5242,14.481446818512207,11.224935976370107,17.536069427524435,0.0,True
0.88,Longyuan-SCADA,42,Transformer-QR,12,5242,5.624574530993377,3.069108836817314,8.243161298181656,0.0,True
0.88,Longyuan-SCADA,42,Transformer-QR,24,5242,5.624574530993377,2.5662713197113587,8.440762710371168,0.001,True
0.88,Longyuan-SCADA,42,Transformer-QR,48,5242,5.624574530993377,1.9978627067629229,8.983617740366942,0.003,True
0.88,Longyuan-SCADA,42,SQR,12,5242,14.503398577250946,10.086034299125657,18.99164177762875,0.0,True
0.88,Longyuan-SCADA,42,SQR,24,5242,14.503398577250946,9.324946387448142,19.879901387390404,0.0,True
0.88,Longyuan-SCADA,42,SQR,48,5242,14.503398577250946,8.609696367995877,20.8350706618508,0.0,True
0.88,Longyuan-SCADA,42,LUBE-NN,12,5242,14.398951130575554,11.785019260378842,16.95315672297916,0.0,True
0.88,Longyuan-SCADA,42,LUBE-NN,24,5242,14.398951130575554,11.7180399449351,17.32606217080698,0.0,True
0.88,Longyuan-SCADA,42,LUBE-NN,48,5242,14.398951130575554,11.153480040813301,17.583230044558864,0.0,True
0.88,Longyuan-SCADA,42,RQR-MLP,12,5242,13.154394257482524,9.434203336958392,16.410058449498106,0.0,True
0.88,Longyuan-SCADA,42,RQR-MLP,24,5242,13.154394257482524,8.61260994376685,17.252057905926677,0.0,True
0.88,Longyuan-SCADA,42,RQR-MLP,48,5242,13.154394257482524,7.17903482815729,18.062794062164347,0.0,True
0.88,Longyuan-SCADA,42,KDE,12,5242,14.733838206891201,12.108873119903675,17.593592706048632,0.0,True
0.88,Longyuan-SCADA,42,KDE,24,5242,14.733838206891201,11.621426486450495,17.91575532059595,0.0,True
0.88,Longyuan-SCADA,42,KDE,48,5242,14.733838206891201,11.092837280310187,18.598301155218767,0.0,True
0.88,SDWPF-SCADA,42,MLP-QR,12,12704,62.8585875256536,55.57850098886178,69.94460190690734,0.0,True
0.88,SDWPF-SCADA,42,MLP-QR,24,12704,62.8585875256536,53.741811606775904,72.29819316257456,0.0,True
0.88,SDWPF-SCADA,42,MLP-QR,48,12704,62.8585875256536,52.144757902742334,75.09833451020026,0.0,True
0.88,SDWPF-SCADA,42,LSTM-QR,12,12704,-1.9477424477449892,-7.062525745032716,3.203806226049322,0.433,False
0.88,SDWPF-SCADA,42,LSTM-QR,24,12704,-1.9477424477449892,-7.759615465825991,3.9584502613214148,0.533,False
