calibration_target,setting,method,n,PICP_mean,PICP_std,PINAW_mean,PINAW_std,Winkler_mean,Winkler_std,rank_mean,rank_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,PICP_below_080,PICP_below_target,cached_audit_time_s_mean,stage2_time_s_mean
0.86,common_validation_conformal_086,Proposed model,9,0.84790546017501,0.03411936759231362,0.20641092624929216,0.03280796801474976,297.0165490044488,170.0918924272686,1.4444444444444444,1.0137937550497031,101.87592781914606,63.513441854695046,65.89573076036241,40.350957484346004,0.8548242118623521,0.07951524007182223,1,7,1583.0265904797448,1583.0148362318675
0.86,common_validation_conformal_086,CNN-QR,9,0.846073899028283,0.04752878451516003,0.2475644134812885,0.014457899938889872,405.7033632066515,247.26186306382434,7.333333333333333,0.7071067811865475,106.48899205525716,69.57913368095785,67.95330376095242,44.041492473001085,0.8484657671716478,0.0771442371430006,3,5,1583.0265904797448,1583.0148362318675
0.86,common_validation_conformal_086,GRU-QR,9,0.8166733620168468,0.044460928250618224,0.19062409963872698,0.028497348275384488,332.74605051676434,203.39456716927506,2.6666666666666665,1.0,102.10075230068631,65.21105647596956,63.95851421356201,40.92980094121153,0.8544341458214654,0.08041858873543917,3,9,1583.0265904797448,1583.0148362318675
0.86,common_validation_conformal_086,KDE,9,0.8369687046147881,0.044589729119434665,0.24106558329529232,0.022563103030531512,416.6779039171007,257.6377162219293,8.0,0.5,105.87756771511502,68.99199764453063,66.32817819383409,42.810463824343515,0.8503298030959235,0.07587852233540088,3,6,1583.0265904797448,1583.0148362318675
0.86,common_validation_conformal_086,LSTM-QR,9,0.8187755310675713,0.04428224070488565,0.1917485131157769,0.0261614353545555,337.3434846666124,209.13254449260074,2.6666666666666665,0.8660254037844386,102.9335748884413,66.12805841064666,64.30415513780382,41.13272889341565,0.8534812529881796,0.07961184109428548,3,8,1583.0265904797448,1583.0148362318675
0.86,common_validation_conformal_086,LUBE-NN,9,0.8465680670321256,0.052941372741103235,0.271268293261528,0.02463856991053792,446.41171095106336,293.5349326426101,8.88888888888889,1.2692955176439846,120.89483239915636,86.37168419876231,89.4589377509223,71.30076324393838,0.8221632109747993,0.08068248104248557,3,6,1583.0265904797448,1583.0148362318675
0.86,common_validation_conformal_086,MLP-QR,9,0.8283751629306753,0.03021034203699559,0.21162462565633985,0.029902501944813125,364.1878823174371,226.19255414662976,5.0,1.118033988749895,106.06292639838324,67.00146312557487,67.15269639756944,41.82151144749806,0.8455265694194369,0.08246501544563004,2,8,1583.0265904797448,1583.0148362318675
0.86,common_validation_conformal_086,RQR-MLP,9,0.9539773693155073,0.028723329373297697,0.37090392576323616,0.042706169908047355,446.6404546101888,285.17023719843843,8.11111111111111,2.147349787787521,103.66533321804471,65.38978731892716,65.23170449998644,40.93492829489013,0.8461624052789476,0.08941188570362972,0,0,1583.0265904797448,1583.0148362318675
0.86,common_validation_conformal_086,SQR,9,0.8196564221250284,0.0597964695655451,0.2037977311346266,0.013834792338759384,379.48481920030383,230.91440804829074,6.666666666666667,2.0,107.00273429022894,66.564264099626,67.94309828016493,41.30165895831688,0.8340472247865465,0.09754909602002976,3,6,1583.0265904797448,1583.0148362318675
0.86,common_validation_conformal_086,Transformer-QR,9,0.7994916345475549,0.06108019815615501,0.19815043442779118,0.03518911983304203,372.8848173353407,231.30704196963717,4.222222222222222,2.4888640871780128,106.8261161380344,68.7112566976591,67.63391187455919,42.627161132694425,0.8444016112221612,0.08133934588283556,4,8,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,Proposed model,9,0.8724817387638448,0.030897157316434127,0.21977894339296553,0.03705403062419915,301.4038899739583,172.55023101863216,1.4444444444444444,1.0137937550497031,101.87592781914606,63.513441854695046,65.89573076036241,40.350957484346004,0.8548242118623521,0.07951524007182223,0,6,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,CNN-QR,9,0.8661412484334539,0.04572145506284232,0.27118832369645435,0.018073340752502862,414.8148778279622,252.49140401969981,7.444444444444445,0.7264831572567788,106.48899205525716,69.57913368095785,67.95330376095242,44.041492473001085,0.8484657671716478,0.0771442371430006,1,5,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,GRU-QR,9,0.8436810663085035,0.03755854345793686,0.21116014983918932,0.03435375292687469,337.07006072998047,206.38463664965323,2.5555555555555554,1.130388330520878,102.10075230068631,65.21105647596956,63.95851421356201,40.92980094121153,0.8544341458214654,0.08041858873543917,2,7,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,KDE,9,0.8565430063567419,0.04169214553230355,0.26415414611498517,0.031143583027070095,423.4137963189019,260.4064148463007,8.11111111111111,0.7817359599705717,105.87756771511502,68.99199764453063,66.32817819383409,42.810463824343515,0.8503298030959235,0.07587852233540088,0,6,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,LSTM-QR,9,0.8431824376939799,0.04015935446219095,0.21144066088729435,0.03159154610020562,341.9229524400499,212.06708412372052,2.5555555555555554,0.7264831572567788,102.9335748884413,66.12805841064666,64.30415513780382,41.13272889341565,0.8534812529881796,0.07961184109428548,2,8,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,LUBE-NN,9,0.8685163558365083,0.045844911556602565,0.2979528274801042,0.02366839593201257,455.78643629286023,296.5054236233762,9.0,1.5,120.89483239915636,86.37168419876231,89.4589377509223,71.30076324393838,0.8221632109747993,0.08068248104248557,0,6,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,MLP-QR,9,0.8501552082201084,0.03294359235584763,0.2312339742978414,0.03172812344525447,369.96764373779297,229.61955716752033,5.222222222222222,0.8333333333333334,106.06292639838324,67.00146312557487,67.15269639756944,41.82151144749806,0.8455265694194369,0.08246501544563004,0,6,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,RQR-MLP,9,0.9539773693155073,0.028723329373297697,0.37090392576323616,0.042706169908047355,446.6404546101888,285.17023719843843,8.0,2.0615528128088303,103.66533321804471,65.38978731892716,65.23170449998644,40.93492829489013,0.8461624052789476,0.08941188570362972,0,0,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,SQR,9,0.8414091076125579,0.058364422016429364,0.22519179350799984,0.015585840173430666,385.84484524197046,234.47924763424967,6.444444444444445,1.5898986690282426,107.00273429022894,66.564264099626,67.94309828016493,41.30165895831688,0.8340472247865465,0.09754909602002976,3,6,1583.0265904797448,1583.0148362318675
0.88,common_validation_conformal_088,Transformer-QR,9,0.8262135583651009,0.04932327624785799,0.2187148349152671,0.04313062077352778,373.30472056070965,230.94795893119067,4.222222222222222,2.333333333333333,106.8261161380344,68.7112566976591,67.63391187455919,42.627161132694425,0.8444016112221612,0.08133934588283556,1,9,1583.0265904797448,1583.0148362318675
