calibration_target,setting,public_dataset,seed,method,rank,PICP,PINAW,Winkler,RMSE,MAE,R2,params,best_lambda,posthoc_calibration,baseline_common_calibration,calibration_q_scaled,calib_val_picp_before,calib_val_picp_after,time_s,stage1_cache_time_s,stage2_time_s,dpr_cache_status
0.84,common_validation_conformal_084,WPF-SCADA,42,Transformer-QR,4,0.8061287027579163,0.1830887794494629,606.4000244140625,181.52723693847656,111.82592010498047,0.8759765625,17925,,,conformal,0.010920405387878418,0.8232890704800817,0.8416751787538305,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.84,common_validation_conformal_084,WPF-SCADA,42,SQR,6,0.797344228804903,0.1719156801700592,648.2085571289062,183.7512969970703,113.02693939208984,0.8729189038276672,1921,,,conformal,0.039000675082206726,0.7742594484167518,0.8416751787538305,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.84,common_validation_conformal_084,WPF-SCADA,42,LUBE-NN,9,0.8057201225740551,0.2885652482509613,729.556884765625,226.25839233398438,194.0247802734375,0.8073230981826782,2021,,,conformal,0.4045991897583008,0.0040858018386108275,0.8406537282941777,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.84,common_validation_conformal_084,WPF-SCADA,42,RQR-MLP,10,0.9752808988764045,0.401552677154541,737.6886596679688,173.747314453125,108.98225402832031,0.886379599571228,2021,,,conformal,0.0,0.992849846782431,0.992849846782431,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.84,common_validation_conformal_084,WPF-SCADA,42,KDE,8,0.8153217568947906,0.20296084880828857,679.8465576171875,182.75369262695312,113.71244812011719,0.8742949962615967,0,,,conformal,0.029899895191192627,0.8008171603677222,0.8416751787538305,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.86,common_validation_conformal_086,WPF-SCADA,42,Proposed model,1,0.8553626149131767,0.18546710908412933,460.5230712890625,173.8644561767578,107.008056640625,0.8862262964248657,9971,0.15,conformal,,0.02703613042831421,0.8110316649642493,0.8610827374872319,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.86,common_validation_conformal_086,WPF-SCADA,42,MLP-QR,5,0.839632277834525,0.19991926848888397,611.7904052734375,180.2486114501953,111.0486831665039,0.8777175545692444,2021,,,conformal,0.039126768708229065,0.8028600612870276,0.8610827374872319,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.86,common_validation_conformal_086,WPF-SCADA,42,LSTM-QR,3,0.8469867211440245,0.2038695514202118,569.4173583984375,177.0843963623047,109.99139404296875,0.881973147392273,9285,,,conformal,0.021933794021606445,0.8345250255362615,0.8610827374872319,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.86,common_validation_conformal_086,WPF-SCADA,42,GRU-QR,2,0.8492339121552605,0.20188620686531067,552.1554565429688,174.16317749023438,108.8166275024414,0.8858350515365601,7173,,,conformal,0.027653098106384277,0.8232890704800817,0.8610827374872319,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.86,common_validation_conformal_086,WPF-SCADA,42,CNN-QR,7,0.8379979570990806,0.2291330248117447,661.6420288085938,189.501953125,117.20431518554688,0.8648402094841003,3525,,,conformal,0.05203339457511902,0.7926455566905005,0.8610827374872319,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
