calibration_target,setting,public_dataset,method,n,PICP_mean,PICP_std,PINAW_mean,PINAW_std,Winkler_mean,Winkler_std,rank_mean,rank_std,PICP_below_080,PICP_below_target,cached_audit_time_s_mean,stage2_time_s_mean
0.8,common_validation_conformal_080,SDWPF-SCADA,CNN-QR,3,0.8374790092359362,0.02067149020906857,0.19913771748542786,0.011933115951050578,435.2682800292969,19.317132297853895,7.333333333333333,0.5773502691896258,0,0,2560.671411673228,2560.6551225980124
0.8,common_validation_conformal_080,SDWPF-SCADA,GRU-QR,3,0.7685505877413937,0.03528927845002354,0.12127917259931564,0.009940463369035906,345.31263224283856,8.827080511673804,2.6666666666666665,0.5773502691896258,3,3,2560.671411673228,2560.6551225980124
0.8,common_validation_conformal_080,SDWPF-SCADA,KDE,3,0.8489452141057935,0.016392651990569555,0.21287931501865387,0.010276949316152282,448.0862223307292,10.725927133278592,8.333333333333334,0.5773502691896257,0,0,2560.671411673228,2560.6551225980124
0.8,common_validation_conformal_080,SDWPF-SCADA,LSTM-QR,3,0.7908007976490344,0.006560505816758904,0.1289541075627009,0.004955110201890185,345.4686686197917,10.288852463775315,2.3333333333333335,0.5773502691896258,3,3,2560.671411673228,2560.6551225980124
0.8,common_validation_conformal_080,SDWPF-SCADA,LUBE-NN,3,0.8616971032745592,0.01626553554108621,0.18702772756417593,0.006076674705065902,427.9342346191406,29.460315014141575,7.333333333333333,1.5275252316519465,0,0,2560.671411673228,2560.6551225980124
0.8,common_validation_conformal_080,SDWPF-SCADA,MLP-QR,3,0.797649034424853,0.005914836872606432,0.1517078032096227,0.006351299627351773,379.8017578125,11.768934985559136,5.0,1.0,1,1,2560.671411673228,2560.6551225980124
0.8,common_validation_conformal_080,SDWPF-SCADA,RQR-MLP,3,0.9743650293870697,0.010695542279193303,0.31587209304173786,0.01878054948250222,500.2813212076823,23.856366937635254,9.666666666666666,0.5773502691896257,0,0,2560.671411673228,2560.6551225980124
0.8,common_validation_conformal_080,SDWPF-SCADA,SQR,3,0.829345088161209,0.014096645094193007,0.16484635571638742,0.006900555604515361,390.8249816894531,13.64111083321147,5.0,1.0,0,0,2560.671411673228,2560.6551225980124
0.8,common_validation_conformal_080,SDWPF-SCADA,Transformer-QR,3,0.7281696053736356,0.13993106591855098,0.1337662637233734,0.015206067212821278,432.9069519042969,125.86149464376071,5.333333333333333,4.509249752822894,1,1,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,WPF-SCADA,Proposed model,3,0.8239019407558734,0.011854107519022685,0.17304559548695883,0.006618290732812774,459.72350056966144,8.268824955551887,1.0,0.0,0,3,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,WPF-SCADA,CNN-QR,3,0.8319373510384747,0.018490604575496557,0.22326263785362244,0.015972107919070052,653.7732137044271,44.057999831780855,7.333333333333333,0.5773502691896258,0,2,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,WPF-SCADA,GRU-QR,3,0.8288729996595166,0.008475782298945337,0.19230085611343384,0.001836302135911256,555.9719034830729,12.600131554063065,2.0,0.0,0,3,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,WPF-SCADA,KDE,3,0.8147088866189991,0.0014300306435138005,0.20326291024684906,0.00038218471475507873,684.293701171875,8.295401829207849,7.666666666666667,0.5773502691896258,0,3,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,WPF-SCADA,LSTM-QR,3,0.8245829077289751,0.007154043399150324,0.19013730684916177,0.002238446821914142,568.0889689127604,5.250937708183037,3.0,0.0,0,3,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,WPF-SCADA,LUBE-NN,3,0.8177732379979571,0.010908019672492329,0.28575952847798664,0.0024367285803191386,769.2531331380209,53.38633615243125,9.666666666666666,0.5773502691896257,0,3,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,WPF-SCADA,MLP-QR,3,0.8186584950629895,0.013483661941617466,0.19032136599222818,0.006100023162172745,609.7631022135416,21.752514462630653,5.0,1.0,0,3,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,WPF-SCADA,RQR-MLP,3,0.9701055498808308,0.006493511958728686,0.4026418427626292,0.0029017387473711407,745.4870808919271,8.213068120885282,9.333333333333334,0.5773502691896257,0,0,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,WPF-SCADA,SQR,3,0.8000680966973102,0.005075831162024994,0.17570882042249045,0.00849007106994953,627.5323689778646,20.38447675761918,5.666666666666667,0.5773502691896258,2,3,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,WPF-SCADA,Transformer-QR,3,0.8080354102826014,0.0023232852719416953,0.18483363091945648,0.0015117950176765252,603.1786499023438,7.33745641670045,4.333333333333333,0.5773502691896258,0,3,1342.3768135706584,1342.3665487766266
0.84,common_validation_conformal_084,Longyuan-SCADA,Proposed model,3,0.7872949256009156,0.014961524459131039,0.23458699882030487,0.014472040275859277,80.39199829101562,0.6376641015849802,1.0,0.0,2,3,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,Longyuan-SCADA,CNN-QR,3,0.7655475009538345,0.004183844372274225,0.23123176395893097,0.00874283879202797,98.94674682617188,3.5334169420385395,8.0,1.0,3,3,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,Longyuan-SCADA,GRU-QR,3,0.7260587561999238,0.016816725601987357,0.19089526931444803,0.008429557686634977,92.24727121988933,1.6441775623420196,4.0,1.0,3,3,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,Longyuan-SCADA,KDE,3,0.7729874093857306,0.008280249681118136,0.23944054543972015,0.0132180870356782,98.3872782389323,3.351893633478756,8.0,1.0,3,3,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,Longyuan-SCADA,LSTM-QR,3,0.7276484802238331,0.014683268028335241,0.189106414715449,0.012209511972671398,90.49556986490886,2.335925802289225,2.6666666666666665,1.1547005383792515,3,3,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,Longyuan-SCADA,LUBE-NN,3,0.7729874093857306,0.008269254788894764,0.24718930820624033,0.014389009690156496,99.83883412679036,4.432034833916239,8.666666666666666,1.5275252316519468,3,3,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,Longyuan-SCADA,MLP-QR,3,0.7700623171817372,0.02257694693894521,0.22446022927761078,0.012957543166023091,93.13789876302083,5.7872592898658395,5.0,1.7320508075688772,3,3,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,Longyuan-SCADA,RQR-MLP,3,0.9174615286786213,0.011392366545369789,0.39419784148534137,0.008156710091300303,94.15296173095703,0.7444027423955637,5.333333333333333,0.5773502691896258,0,0,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,Longyuan-SCADA,SQR,3,0.7256772224341854,0.004218493778614252,0.19112197061379751,0.0066684499704949525,100.53657786051433,4.409282359076448,9.333333333333334,1.1547005383792517,3,3,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,Longyuan-SCADA,Transformer-QR,3,0.7692356606893043,0.005749440836838744,0.22405311465263367,0.008175328566774488,90.74269358317058,4.750945767567564,3.0,1.0,3,3,846.0315461953481,846.0228373209635
0.84,common_validation_conformal_084,SDWPF-SCADA,Proposed model,3,0.8573415197313182,0.04506482731571774,0.18117870887120566,0.0077962924227925326,344.68772379557294,19.90279783114458,2.3333333333333335,1.5275252316519465,0,1,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,SDWPF-SCADA,CNN-QR,3,0.8794867758186399,0.004273164215409297,0.22678014636039734,0.010170688237180977,447.665283203125,18.56130744346098,7.0,0.0,0,0,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,SDWPF-SCADA,GRU-QR,3,0.8185873215785054,0.02566535376530661,0.14110199610392252,0.009392251041280704,344.42091878255206,6.0154941591312046,2.6666666666666665,0.5773502691896258,1,3,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,SDWPF-SCADA,KDE,3,0.8688339630562553,0.012004630860211382,0.2271387924750646,0.011187443020551689,454.40159098307294,13.73494442419859,8.333333333333334,0.5773502691896257,0,0,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,SDWPF-SCADA,LSTM-QR,3,0.8253306045340049,0.014799116699787685,0.14613971610864004,0.011385847115508118,346.8494160970052,10.90892762560341,2.0,1.0,0,2,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,SDWPF-SCADA,LUBE-NN,3,0.8966204869857263,0.012965195677793237,0.2243953744570414,0.009119476493923775,450.2666727701823,28.654100894685723,7.666666666666667,1.5275252316519465,0,0,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,SDWPF-SCADA,MLP-QR,3,0.8322837951301428,0.004947392730758231,0.16813247402509054,0.007224175659780149,381.89330037434894,12.476806367588566,5.0,1.0,0,3,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,SDWPF-SCADA,RQR-MLP,3,0.9743650293870697,0.010695542279193303,0.31587209304173786,0.01878054948250222,500.2813212076823,23.856366937635254,9.666666666666666,0.5773502691896257,0,0,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,SDWPF-SCADA,SQR,3,0.867075986565911,0.012257964836990607,0.18985325594743094,0.009983566668665216,400.2218729654948,15.056925147015228,5.333333333333333,0.5773502691896258,0,0,2560.671411673228,2560.6551225980124
0.84,common_validation_conformal_084,SDWPF-SCADA,Transformer-QR,3,0.7564284214945424,0.1280867668637327,0.1452387571334839,0.007581672256073017,427.2918701171875,111.89562758221439,5.0,4.58257569495584,1,2,2560.671411673228,2560.6551225980124
0.86,common_validation_conformal_086,WPF-SCADA,Proposed model,3,0.8469867211440244,0.008587476836356966,0.18190579613049826,0.005070195160854504,462.45041910807294,7.8286269152377095,1.0,0.0,0,3,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,WPF-SCADA,CNN-QR,3,0.8490296220633299,0.021083489704771273,0.23832101623217264,0.016214484198408777,659.2967122395834,41.550313776264574,7.333333333333333,0.5773502691896258,0,2,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,WPF-SCADA,GRU-QR,3,0.8459652706843718,0.005139834780555296,0.2037067711353302,0.0017195024251751656,559.7543741861979,12.155675771582692,2.0,0.0,0,3,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,WPF-SCADA,KDE,3,0.8284644194756554,0.0015868137824625109,0.2153980235258738,0.0005981366861001897,686.5688273111979,8.093217174547453,7.666666666666667,0.5773502691896258,0,3,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,WPF-SCADA,LSTM-QR,3,0.8406537282941778,0.005694529056084314,0.20184820890426636,0.001827406131163228,571.4286905924479,4.864230320078067,3.0,0.0,0,3,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,WPF-SCADA,LUBE-NN,3,0.8345931222335716,0.013063921441601569,0.29919198155403137,0.0021486823767616257,772.6404215494791,55.4600727712159,9.666666666666666,0.5773502691896257,0,3,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,WPF-SCADA,MLP-QR,3,0.8340483486550901,0.016261713742548138,0.2023965617020925,0.008419956031920854,612.7470906575521,19.71434715949514,5.0,1.0,0,3,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,WPF-SCADA,RQR-MLP,3,0.9701055498808308,0.006493511958728686,0.4026418427626292,0.0029017387473711407,745.4870808919271,8.213068120885282,9.333333333333334,0.5773502691896257,0,0,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,WPF-SCADA,SQR,3,0.8190670752468505,0.0026973513544893833,0.1899370402097702,0.00622895311061883,628.7997233072916,20.21481320017965,5.666666666666667,0.5773502691896258,0,3,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,WPF-SCADA,Transformer-QR,3,0.8239019407558734,0.00197010230050927,0.19667692482471466,0.000818215970391937,604.9128214518229,7.228470952997887,4.333333333333333,0.5773502691896258,0,3,1342.3768135706584,1342.3665487766266
0.86,common_validation_conformal_086,Longyuan-SCADA,Proposed model,3,0.8148289456950274,0.018441675745609017,0.24900164206822714,0.008615911825085398,80.46854146321614,0.5775926143316453,1.0,0.0,1,3,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,Longyuan-SCADA,CNN-QR,3,0.7913646191021239,0.008006150698480046,0.26009653011957806,0.011101420606497277,98.3291753133138,3.513167740861402,7.666666666666667,1.1547005383792517,3,3,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,Longyuan-SCADA,GRU-QR,3,0.759570138623935,0.012014275548026296,0.21386310954888663,0.011775122184219926,90.97483571370442,1.4871025158660431,3.6666666666666665,1.1547005383792515,3,3,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,Longyuan-SCADA,KDE,3,0.7911738522192547,0.007549967437337045,0.26285548011461896,0.012955626736755793,97.96673583984375,3.3316699509987515,8.333333333333334,0.5773502691896257,3,3,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,Longyuan-SCADA,LSTM-QR,3,0.7622408749841028,0.01900437776909195,0.212339386343956,0.020362723722460556,89.28685251871745,1.900767753341597,2.6666666666666665,1.1547005383792515,3,3,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,Longyuan-SCADA,LUBE-NN,3,0.7932722879308152,0.0044097007370179,0.2690623998641968,0.013062569122518209,99.45616149902344,4.5604471240427555,9.0,1.0,3,3,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,Longyuan-SCADA,MLP-QR,3,0.7939717665013354,0.01642922672246859,0.24906504154205322,0.005923520358826979,92.62525177001953,5.232920477426162,5.0,1.7320508075688772,2,3,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,Longyuan-SCADA,RQR-MLP,3,0.9174615286786213,0.011392366545369789,0.39419784148534137,0.008156710091300303,94.15296173095703,0.7444027423955637,5.333333333333333,0.5773502691896258,0,0,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,Longyuan-SCADA,SQR,3,0.7514943405824749,0.00822807737950572,0.21439352134863535,0.0107824416953113,99.1141866048177,4.261675432994331,9.0,1.7320508075688772,3,3,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,Longyuan-SCADA,Transformer-QR,3,0.7887574717029123,0.00947198076121857,0.2390458583831787,0.007875488071664655,90.41850026448567,4.621188147100564,3.3333333333333335,1.1547005383792515,3,3,846.0315461953481,846.0228373209635
0.86,common_validation_conformal_086,SDWPF-SCADA,Proposed model,3,0.8819007136859781,0.029441791515407222,0.1883253405491511,0.009652560082299705,348.1306864420573,18.769562463067878,2.3333333333333335,1.5275252316519465,0,1,2560.671411673228,2560.6551225980124
0.86,common_validation_conformal_086,SDWPF-SCADA,CNN-QR,3,0.8978274559193954,0.0026307895099289247,0.24427569409211478,0.00836704381648152,459.4842020670573,17.13650351320092,7.0,0.0,0,0,2560.671411673228,2560.6551225980124
