calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,Longyuan-SCADA,43,LSTM-QR,48,5242,9.67654246794565,5.468377191569029,14.04308236977126,0.0,True
0.88,Longyuan-SCADA,43,LUBE-NN,12,5242,22.222503292044735,17.01149436988125,27.458749089925615,0.0,True
0.88,Longyuan-SCADA,43,LUBE-NN,24,5242,22.222503292044735,16.412923011489802,28.527580143428278,0.0,True
0.88,Longyuan-SCADA,43,LUBE-NN,48,5242,22.222503292044735,15.163785778623266,29.598860558448447,0.0,True
0.88,Longyuan-SCADA,43,MLP-QR,12,5242,13.729805756812857,10.070003383967226,17.571320608107136,0.0,True
0.88,Longyuan-SCADA,43,MLP-QR,24,5242,13.729805756812857,9.535108835215702,18.123771910906346,0.0,True
0.88,Longyuan-SCADA,43,MLP-QR,48,5242,13.729805756812857,9.294477880562056,18.526828453929973,0.0,True
0.88,Longyuan-SCADA,43,RQR-MLP,12,5242,12.996934244919878,9.838170472285942,15.93596330013368,0.0,True
0.88,Longyuan-SCADA,43,RQR-MLP,24,5242,12.996934244919878,8.859939797982685,16.560552648594676,0.0,True
0.88,Longyuan-SCADA,43,RQR-MLP,48,5242,12.996934244919878,7.770478834176525,17.569616388967525,0.0,True
0.88,Longyuan-SCADA,43,SQR,12,5242,22.189583797902234,17.281231696360514,27.40177638549685,0.0,True
0.88,Longyuan-SCADA,43,SQR,24,5242,22.189583797902234,16.61690927153587,28.74768857638459,0.0,True
0.88,Longyuan-SCADA,43,SQR,48,5242,22.189583797902234,15.641594578399646,29.044027739119446,0.0,True
0.88,Longyuan-SCADA,43,Transformer-QR,12,5242,11.760920567121346,8.277868537475516,15.532995803863548,0.0,True
0.88,Longyuan-SCADA,43,Transformer-QR,24,5242,11.760920567121346,7.6597649808843995,15.681320832821424,0.0,True
0.88,Longyuan-SCADA,43,Transformer-QR,48,5242,11.760920567121346,7.569156849348322,16.286818492111657,0.0,True
0.88,Longyuan-SCADA,44,CNN-QR,12,5242,17.955880151996322,14.747529494661606,21.362845037687986,0.0,True
0.88,Longyuan-SCADA,44,CNN-QR,24,5242,17.955880151996322,14.276297253944062,22.06195756404558,0.0,True
0.88,Longyuan-SCADA,44,CNN-QR,48,5242,17.955880151996322,13.48035436289377,23.146494151414608,0.0,True
0.88,Longyuan-SCADA,44,GRU-QR,12,5242,8.36708194021242,6.522704707945675,10.40964522210476,0.0,True
0.88,Longyuan-SCADA,44,GRU-QR,24,5242,8.36708194021242,6.051829550880067,10.831885742126689,0.0,True
0.88,Longyuan-SCADA,44,GRU-QR,48,5242,8.36708194021242,5.786664877237983,11.19568421985587,0.0,True
0.88,Longyuan-SCADA,44,KDE,12,5242,16.596543773888556,13.12722219112991,20.172466167411468,0.0,True
0.88,Longyuan-SCADA,44,KDE,24,5242,16.596543773888556,12.43430950471271,20.910159071357207,0.0,True
0.88,Longyuan-SCADA,44,KDE,48,5242,16.596543773888556,11.683444776921336,21.712752942138486,0.0,True
0.88,Longyuan-SCADA,44,LSTM-QR,12,5242,6.914353740204027,5.138218601227769,8.634560223340378,0.0,True
0.88,Longyuan-SCADA,44,LSTM-QR,24,5242,6.914353740204027,4.768109818401482,8.998474267097185,0.0,True
0.88,Longyuan-SCADA,44,LSTM-QR,48,5242,6.914353740204027,4.579461687123102,9.253337921342837,0.0,True
0.88,Longyuan-SCADA,44,LUBE-NN,12,5242,19.83038950498083,14.868788814589987,25.426466066900897,0.0,True
0.88,Longyuan-SCADA,44,LUBE-NN,24,5242,19.83038950498083,13.233393946231573,26.958461477992905,0.0,True
0.88,Longyuan-SCADA,44,LUBE-NN,48,5242,19.83038950498083,11.89999790803383,28.81575763726795,0.0,True
0.88,Longyuan-SCADA,44,MLP-QR,12,5242,14.180387554062227,11.162117349046799,17.435551976860047,0.0,True
0.88,Longyuan-SCADA,44,MLP-QR,24,5242,14.180387554062227,10.559309610450628,18.269264293167154,0.0,True
0.88,Longyuan-SCADA,44,MLP-QR,48,5242,14.180387554062227,9.731729198660583,18.764160680471548,0.0,True
0.88,Longyuan-SCADA,44,RQR-MLP,12,5242,13.002101306584224,10.28668487712582,15.481960784342075,0.0,True
0.88,Longyuan-SCADA,44,RQR-MLP,24,5242,13.002101306584224,9.86391524683457,15.91033947008211,0.0,True
0.88,Longyuan-SCADA,44,RQR-MLP,48,5242,13.002101306584224,9.09478622479071,16.30141726195499,0.0,True
0.88,Longyuan-SCADA,44,SQR,12,5242,14.866820946948971,11.082454758499216,19.10194077470996,0.0,True
0.88,Longyuan-SCADA,44,SQR,24,5242,14.866820946948971,10.012684976216034,19.63259802314409,0.0,True
0.88,Longyuan-SCADA,44,SQR,48,5242,14.866820946948971,9.341361213936189,21.282625789024227,0.0,True
0.88,Longyuan-SCADA,44,Transformer-QR,12,5242,11.263720292188575,8.131953077665983,14.28082618700171,0.0,True
0.88,Longyuan-SCADA,44,Transformer-QR,24,5242,11.263720292188575,7.670162337413978,14.856236069489094,0.0,True
0.88,Longyuan-SCADA,44,Transformer-QR,48,5242,11.263720292188575,7.315124752503507,15.275761913333488,0.0,True
0.88,SDWPF-SCADA,42,CNN-QR,12,12704,108.69797135879419,100.2411718444624,117.25280487579516,0.0,True
0.88,SDWPF-SCADA,42,CNN-QR,24,12704,108.69797135879419,97.6174596666945,120.31835955011447,0.0,True
0.88,SDWPF-SCADA,42,CNN-QR,48,12704,108.69797135879419,94.33634586760816,122.2419748560256,0.0,True
0.88,SDWPF-SCADA,42,GRU-QR,12,12704,3.6259808107567353,-1.290872960134021,8.756352993269648,0.162,False
0.88,SDWPF-SCADA,42,GRU-QR,24,12704,3.6259808107567353,-2.6050803586711444,9.957746021925955,0.25,False
0.88,SDWPF-SCADA,42,GRU-QR,48,12704,3.6259808107567353,-3.324740451645973,10.821704736221003,0.303,False
0.88,SDWPF-SCADA,42,KDE,12,12704,116.7589090108273,109.09836820482361,124.32449639554342,0.0,True
0.88,SDWPF-SCADA,42,KDE,24,12704,116.7589090108273,106.75128570014049,126.96925959057397,0.0,True
0.88,SDWPF-SCADA,42,KDE,48,12704,116.7589090108273,103.66635620271387,128.82082744218874,0.0,True
0.88,SDWPF-SCADA,42,LSTM-QR,12,12704,-1.9477419548554649,-7.0416003744068005,3.133001408838208,0.43,False
0.88,SDWPF-SCADA,42,LSTM-QR,24,12704,-1.9477419548554649,-7.950584494671277,4.220023502859779,0.541,False
0.88,SDWPF-SCADA,42,LSTM-QR,48,12704,-1.9477419548554649,-8.810285650244294,4.891836960788217,0.553,False
0.88,SDWPF-SCADA,42,LUBE-NN,12,12704,123.4346112074833,110.380916251903,136.381634703941,0.0,True
