public_dataset,seed,method,calibration_target,calibration_q_scaled,validation_picp_before,validation_picp_after,test_picp,test_pinaw,test_winkler
Longyuan-SCADA,43,GRU-QR,0.88,0.13396179676055908,0.7931363203050524,0.880838894184938,0.7827165204120564,0.2332892119884491,91.80281829833984
Longyuan-SCADA,43,CNN-QR,0.88,0.13397526741027832,0.8160152526215443,0.880838894184938,0.7983594048073255,0.2748230993747711,100.86788177490234
Longyuan-SCADA,43,Transformer-QR,0.88,0.20071136951446533,0.6901811248808389,0.880838894184938,0.811903853491034,0.26367104053497314,92.96764373779297
Longyuan-SCADA,43,SQR,0.88,0.204989954829216,0.7140133460438512,0.880838894184938,0.7598244944677603,0.23178040981292725,103.39630889892578
Longyuan-SCADA,43,LUBE-NN,0.88,0.5305399894714355,0.0019065776930409914,0.8798856053384175,0.8166730255627623,0.3055824041366577,103.4292221069336
Longyuan-SCADA,43,RQR-MLP,0.88,0.0,0.9380362249761678,0.9380362249761678,0.9132010682945441,0.3931482434272766,94.20365905761719
Longyuan-SCADA,43,KDE,0.88,0.13375097513198853,0.8131553860819828,0.880838894184938,0.8056085463563525,0.282213419675827,101.30025482177734
SDWPF-SCADA,43,Proposed model,0.88,0.04004180431365967,0.8146399055489965,0.880362062180244,0.9268734256926953,0.19784049689769745,342.7686462402344
SDWPF-SCADA,43,MLP-QR,0.88,0.08193159103393555,0.8193624557260921,0.880362062180244,0.8801952141057935,0.19752582907676697,389.3216247558594
SDWPF-SCADA,43,LSTM-QR,0.88,0.11228013038635254,0.7847304210940574,0.880362062180244,0.896095717884131,0.1843806356191635,364.6799011230469
SDWPF-SCADA,43,GRU-QR,0.88,0.10071694850921631,0.7819756001574183,0.880362062180244,0.8800377833753149,0.1773180067539215,360.4699401855469
SDWPF-SCADA,43,CNN-QR,0.88,0.1313856840133667,0.7886658795749705,0.880362062180244,0.9187657430730478,0.2771783769130707,495.77008056640625
SDWPF-SCADA,43,Transformer-QR,0.88,0.09430989623069763,0.8213301849665486,0.880362062180244,0.7075724181360201,0.17498250305652618,514.1893310546875
SDWPF-SCADA,43,SQR,0.88,0.19545060396194458,0.6859504132231405,0.880362062180244,0.9088476070528967,0.23840628564357758,443.4896240234375
SDWPF-SCADA,43,LUBE-NN,0.88,0.4971228837966919,0.0019677292404565133,0.880362062180244,0.9367128463476071,0.26869654655456543,476.8956298828125
SDWPF-SCADA,43,RQR-MLP,0.88,0.0,0.9842581660763479,0.9842581660763479,0.9796127204030227,0.32571855187416077,513.5327758789062
SDWPF-SCADA,43,KDE,0.88,0.10050097107887268,0.8158205430932703,0.880362062180244,0.9146725440806045,0.27630189061164856,497.9916687011719
WPF-SCADA,44,Proposed model,0.88,0.041767001152038574,0.8171603677221655,0.881511746680286,0.8717058222676201,0.187638521194458,461.9019470214844
WPF-SCADA,44,MLP-QR,0.88,0.07297801971435547,0.797752808988764,0.881511746680286,0.8676200204290092,0.23171044886112213,603.6347045898438
WPF-SCADA,44,LSTM-QR,0.88,0.0470694899559021,0.8263534218590398,0.881511746680286,0.8576098059244127,0.2151240110397339,574.2376098632812
WPF-SCADA,44,GRU-QR,0.88,0.04720115661621094,0.8192032686414709,0.881511746680286,0.8610827374872319,0.21525806188583374,558.1640014648438
WPF-SCADA,44,CNN-QR,0.88,0.06207266449928284,0.8140960163432074,0.881511746680286,0.8894790602655771,0.272278755903244,627.6082763671875
WPF-SCADA,44,Transformer-QR,0.88,0.04354524612426758,0.8314606741573034,0.881511746680286,0.8451481103166496,0.21246455609798431,601.2991943359375
WPF-SCADA,44,SQR,0.88,0.10721568018198013,0.7446373850868233,0.881511746680286,0.8449438202247191,0.2079439014196396,615.0159912109375
WPF-SCADA,44,LUBE-NN,0.88,0.4429776072502136,0.0,0.881511746680286,0.8596527068437181,0.31582915782928467,842.163818359375
WPF-SCADA,44,RQR-MLP,0.88,0.0,0.992849846782431,0.992849846782431,0.9628192032686415,0.4004422724246979,754.0599365234375
WPF-SCADA,44,KDE,0.88,0.062287837266922,0.8120531154239019,0.881511746680286,0.8408580183861083,0.23148797452449799,686.4827270507812
Longyuan-SCADA,44,Proposed model,0.88,0.1067596822977066,0.8026692087702574,0.880838894184938,0.8439526898130485,0.26842281222343445,81.86861419677734
Longyuan-SCADA,44,MLP-QR,0.88,0.20872187614440918,0.7702573879885606,0.880838894184938,0.803510110644792,0.2730478346347809,96.04900360107422
